ADUS,APAM,BLBD,BPOP,BWXT,COLL,CORT,CRS,DORM,EME,EXEL,EXLS,FDS,FN,HALO,HROW,IDCC,IRMD,IRWD,IWO,IWP,KBR,LAMR,LNTH,MIRM,NBIX,NSSC,NTNX,NXT,ONTO,OPCH,OSIS,PEN,POWL,QLYS,SFM,SN,SPSC,STRL,TBBK,TILE,TMDX,TTEK,VTWG,YOU
108.2399979,40.31027603,39.86999893,101.8820038,106.4431839,29.06999969,70.83999634,229.4877014,128.0500031,465.9094849,44.65000153,45.63999939,453.2875366,226.3600006,47.90999985,25.12999916,215.1682434,51.15346527,0.649999976,269.7984619,133.7378082,54.84661102,109.9009705,78.80999756,44.38999939,118.7799988,27.21719742,81.83000183,55.04000092,104.0800018,31.79000092,226.2200012,288.9700012,61.35009384,135.6300049,158.4799957,101.1100006,149.75,187.1999969,54.61999893,20.89387131,122.3600006,34.49312973,196.2485504,24.7368412
109.9000015,40.58499527,40.36000061,102.2038651,108.1222,29.34000015,73.36000061,229.9267426,130.4799957,463.6327515,46.25999832,46.18999863,462.69104,223.5800018,48.95000076,25.62000084,214.7312927,53.07505035,0.589999974,270.6642761,133.3889771,55.01412582,110.9739761,79.77999878,45.27999878,120.2699966,27.21719742,80.66000366,61.59000015,98.04000092,32.49000168,227.9799957,275.3200073,59.02572632,135.8999939,161.2799988,100.6900024,148.6300049,184.7899933,54.34000015,20.73437691,121.8099976,34.93000031,197.4003143,24.16795349
111.6299973,40.48269272,40.81999969,101.9405212,108.9766006,30.22999954,75.08000183,231.3635254,132.0299988,469.7640381,45.40000153,46.06999969,466.5450745,229.5500031,52.02000046,28.40999985,217.1742401,53.12431335,0.569999993,273.8289185,134.6945496,55.29988861,113.8226166,81.23999786,45.00999832,121.0199966,27.41420937,82.76999664,59.31000137,99.40000153,33.22999954,232,280.6799927,60.82213593,136.8800049,168.6799927,102.0800018,150.9400024,188.5700073,53.93000031,20.46523285,121.5800018,35.11864853,199.9223328,24.1581459
111.0899963,39.97119522,41.25,102.6915359,109.5242615,29.82999992,74.81999969,235.1850128,130.3999939,469.3246155,44.68999863,46.29000092,463.6570129,227.7700043,53.29999924,28.29999924,215.8534698,53.41994095,0.610000014,272.6446533,134.3856049,54.63968277,113.1959076,78.25,44.88999939,122.8199997,27.5324192,83.06999969,58.34000015,100.4199982,33.09000015,229.6499939,281.5599976,60.61957932,136.8999939,168.9299927,101.1500015,149.2799988,185.9799957,53.77999878,20.69450569,122.0999985,35.01935959,198.8499603,24.2562294
112.5100021,39.41320038,40.81999969,102.5549927,109.7433395,29.95999908,76.22000122,234.626236,130.5,471.8510742,44.36000061,46.38000107,463.4302673,228.2899933,53.45000076,28.06999969,214.3042908,52.67855453,0.649999976,273.381073,133.4986115,54.52143478,112.5881958,76.83000183,45.34000015,122.9599991,27.91658974,81.41999817,58.99000168,97.25,33.06999969,230.1300049,281.1300049,60.21115494,138.0800018,168.0200043,100.5899963,149,187.1900024,54.34999847,20.76428604,124.7099991,35.19808197,199.4159241,24.68779945
110.1500015,38.79010391,39.20000076,100.2044601,106.9352798,29.46999931,75.80000305,229.7770538,126.4300003,463.1134644,43.72000122,45.91999817,457.6640015,226.9700012,53.93000031,26.72999954,212.9934235,52.59947205,0.589999974,265.7780457,130.1399689,51.3090744,109.112854,75.12999725,44.31000137,120.5599976,27.87718773,80,57.86000061,94.62000275,32.70999908,226.9499969,270.3900146,58.02899933,135.8300018,164.6799927,97.29000092,144.0500031,182.0899963,52.09999847,20.16617775,121.3099976,35.34701157,193.5776062,24.70741844
111.5299988,38.39950562,39.20999908,99.63878632,107.1643066,28.81999969,76.08999634,225.4966278,126.1900024,457.6611633,42.86000061,45.86000061,457.3485718,228.25,53.75,25.73999977,211.0370789,51.68013763,0.620000005,265.9372559,130.3990936,51.57512665,108.8659668,74.75,44.04999924,119.1200027,28.06435013,79.86000061,56.04999924,94.83000183,32.02999878,228.6799927,266.75,57.61996841,136.4299927,161.7700043,95.37000275,145.6699982,182.2899933,51.77999878,19.72756577,123.3399963,35.19808197,193.6868439,24.9428196
112.1600037,37.59970856,38.63000107,99.97038269,118.9840393,28.86000061,78.69000244,229.6473541,125.0599976,462.664093,42.38999939,45.58000183,456.1755676,230.2799988,54.54000092,25.89999962,210.7888031,50.50379562,0.569999993,265.4397278,129.6715698,50.37295532,109.4926682,73.86000061,44,120.1800003,27.68017578,79.76000214,56.04999924,92.01999664,31.40999985,227.4400024,268.5400085,58.09550858,134.5099945,163.4299927,94.36000061,142.8899994,184.3999939,51.09999847,19.55810356,124.25,35.23289108,193.2598877,23.52059746
115.6299973,38.35300827,39.90000153,101.8039856,121.8418884,29.47999954,76.80999756,237.8390656,127.5699997,474.916748,43.09000015,46.52000046,456.3628845,234.7100067,54.41999817,26.32999992,209.9943695,51.94704056,0.620000005,271.7390442,132.0833893,51.67366409,112.5312271,75.76000214,43.86999893,122.6399994,27.91658974,79,55.88000107,96.05000305,32.11999893,227.7299957,272.6300049,60.2703476,137.5399933,164.3000031,94.77999878,145.8699951,191.4199982,52.31000137,20.46523285,128.5299988,36.0087738,197.9464264,24.00121117
113.2699966,37.94380569,39.09000015,100.5458145,126.053978,28.90999985,77.65000153,235.6340027,127.25,468.4758911,42.40999985,46.15999985,453.6817932,231.7899933,54.43000031,25.92000008,211.8216095,51.06725693,0.589999974,269.2810059,131.3857574,50.72769547,112.265358,74.18000031,43.72999954,123.0299988,27.48316193,78.87000275,55.61000061,93.62000275,31.73999977,216,264.2900085,57.74633408,136.1799927,169.2700043,92.70999908,142.7599945,187.9299927,51.79000092,20.15620804,128.6199951,35.43183899,196.4074097,23.89331818
113.1299973,37.86940765,39.16999817,101.8813324,124.7196503,29.18000031,77.63999939,232.8701782,128.0700073,467.5971069,42.59999847,45.99000168,458.9059753,234.8600006,54.72999954,27.20000076,212.7054443,57.47290421,0.629999995,269.4899902,131.276123,50.67842865,113.6422043,75.51999664,44,123.6600037,27.60136986,75.84999847,55.42499924,95.04000092,32.25999832,220.1900024,265.5299988,56.66556931,137.25,167.4299927,94.36000061,141.7299957,186.1300049,52.00999832,19.94687271,127.6900024,34.91458511,196.5861359,23.84427452
110.9100037,37.47880936,38.70000076,101.6652832,125.0681686,29.13999939,77.55999756,234.4765625,129.3099976,471.1920166,43.04000092,45.99000168,452.7703552,232.8699951,56.06999969,28.11000061,215.7541504,57.21588898,0.600000024,268.3156738,132.4920349,51.42732239,114.4588165,75.55999756,44.45999908,123.0199966,27.48316193,76.69000244,56.68999863,91.94000244,32.68000031,219.1100006,266.9700012,56.39620209,138.5500031,172.8600006,91.93000031,140.7599945,188.0099945,51.09999847,20.03663254,127.1200027,34.75543213,195.8414612,24.27584648
111.1999969,37.311409,37.95500183,102.1366501,125.5660553,29.30999947,71.68000031,239.3955841,126.1399994,468.8852844,42.88000107,45.90000153,451.0906982,233.3699951,55.63999939,29.97999954,214.8703308,57.12691879,0.620000005,270.4055481,132.9504547,50.34339523,114.325882,77.12999725,45.97000122,124.5599976,27.65062523,77.05999756,55.29000092,92.76000214,31.86000061,217.4799957,256.1600037,57.41711807,140.7100067,179.5299988,92.30000305,138.9100037,189.6000061,49.79999924,19.77732086,123.9400024,34.34759521,197.2017365,24.58971405
112.6800003,37.61830902,38.72999954,103.452507,127.8065262,29.22999954,69.51000214,245.7514191,127.5699997,483.0951233,42.66999817,46.63999939,429.3147278,239.8699951,53.31000137,29.34000015,219.9151001,59.10396957,0.610000014,274.9931946,134.4454193,51.2302475,115.1804733,77.69000244,45.29000092,125,28.19240952,77.72000122,57.97999954,95.51000214,31.70000076,221.1699982,257.3599854,57.72971344,142.5599976,175.2100067,92.31999969,142.1300049,194.2299957,50.13999939,20.19620514,128.7400055,34.89469147,200.1705475,25.55093956
112.0100021,37.69270706,39.02999878,102.2446671,128.3243256,29.39999962,69.98000336,246.0507355,127.3000031,481.9567566,42.22000122,46.86999893,428.5935059,239.2799988,53.84999847,29.51000023,221.9608459,60.08261108,0.600000024,274.4657898,134.5351105,51.24009705,115.1804733,79.62999725,44.61000061,124.5199966,28.15300369,77.13999939,56.91999817,96.08000183,31.30999947,223.6300049,255.3300018,59.00335312,138.3999939,171.1399994,87.91000366,145.0099945,193.8099976,50.09000015,20.07652664,129.8099976,35.13342285,200.2102661,25.32534981
112.1600037,37.45090866,40.29999924,101.9500656,128.3940277,29.5,69.01000214,246.5097046,127.0100021,483.3747253,42.36999893,47.04000092,426.3111572,237.2200012,53.54999924,28.71999931,224.9400482,59.66742706,0.569999993,274.8738098,133.8474426,51.57512665,114.041008,80.33000183,44.65000153,124.6100006,28.25151062,78.33999634,57.65999985,94.31999969,32.16999817,222.8899994,258.3800049,60.72260666,139.6999969,168.1199951,87.26999664,142.2700043,195.2400055,50.38000107,20.0266571,135.5899963,35.03395462,200.3889923,25.46266365
113.1299973,37.86940765,40.56000137,103.8453064,129.1707306,30.20000076,69.59999847,248.1859741,126.6699982,488.1279907,43.02999878,47.99000168,427.1707764,234.9499969,54.25,29.59000015,225.7344971,59.80582047,0.610000014,279.2226868,135.3324127,52.78715134,114.9240952,81.55000305,46.38000107,125.3899994,28.40911865,77.11000061,58.91999817,96.09999847,31.89999962,226.4700012,258.8999939,63.51266098,141.8600006,169.1699982,87.25,142.3500061,205.9900055,52.20000076,20.08650017,139.0500031,35.40200043,203.7152252,25.66864204
116.5599976,38.46460342,40.86999893,103.9435043,132.0584412,30.44000053,70.56999969,252.5163116,127.6100006,473.1192627,42.91999817,47.65999985,421.6477051,232.8300018,54.38000107,30.14999962,226.3800049,60.10238266,0.589999974,280.5263672,134.7145081,52.07767487,114.6107407,83.22000122,47.04999924,125.7300034,28.26136208,75.44000244,59.02000046,99.45999908,31.67000008,227.7799988,256.4899902,63.26324844,141.7700043,165.7400055,87.86000061,141.1100006,202.9100037,53.45000076,20.79461479,139.3999939,35.08368301,204.4797668,25.72749329
118,39.00400162,41.56999969,104.7585602,131.1523132,30.37000084,72.26999664,245.3922119,127.9100037,465.2704163,42.52000046,47.63000107,420.5015869,237.7200012,53.77000046,31.17000008,220.1038055,59.2571907,0.800000012,281.3423462,134.7244568,52.01855087,115.5318069,80.41999817,48.97999954,124.7699966,28.32046509,74.77999878,58.97999954,101.3399963,32.15000153,231.6000061,255.7299957,61.77344513,141.7200012,161.8800049,89.48000336,144.5,198.3699951,54.31999969,20.89434814,140.8600006,35.27268219,205.1450043,25.5845871
112.6900024,39.63639832,41.15000153,103.3052063,135.2249908,29.69000053,71.23999786,244.5440979,127.2600021,471.2219543,41.43000031,47.59000015,418.308197,243.1999969,53.84999847,31.61000061,220.4017181,59.32144165,0.720000029,280.5959778,134.8739624,52.53095245,115.5318069,80.75,48.45999908,124.1699982,28.29091072,74.06999969,60.15000153,99.94000244,31.69000053,239.0500031,253.3099976,64.11456299,140.0099945,159.8999939,89.55999756,136.2100067,204.4600067,53.72999954,21.10379028,142.8800049,35.44178772,204.3407593,25.13124084
114.0299988,39.97119522,41.27000046,103.5998077,137.1965942,29.60000038,71.18000031,247.906601,128.2400055,474.2576904,41.77999878,48.04999924,419.0887451,256.9700012,54.54000092,31.15999985,220.3023987,58.8766098,0.670000017,279.1729126,134.6846008,52.90539551,115.3228989,80.13999939,49.02000046,125.0100021,27.9741497,73.59999847,59.41999817,100,31.87000084,236.5800018,253.3999939,64.29081726,140.6799927,157.0399933,87.93000031,137.8899994,204.3200073,51.20999908,20.91429329,143.0449982,36.05850983,203.5861359,25.02283287
112.8000031,39.34809875,40.79999924,101.9402466,137.4853821,29.18000031,70.05999756,248.1660309,124.5500031,477.2434387,41.59000015,47.25,414.869873,245.0899963,53.97999954,30.30999947,216.9954987,57.50255966,0.620000005,273.639801,132.9305573,52.84114838,113.2433853,77.83000183,49.63000107,124.3899994,27.32082558,72.12999725,60.70999908,94.69999695,31.60000038,229.5399933,256.5,62.46846771,138.7799988,157.9199982,82.12999725,134.8000031,202.9900055,50.59999847,20.00671196,142.8800049,35.86951447,199.2669983,24.04714775
