Security Name,Ticker,Shares,Price [USD],Market Value [USD],Weight (%),industry,sector
"Tenaya Therapeutics, Inc.",TNYA,15.08,1.35,20.35,0.001,Luxury Goods,Consumer Cyclical
Tennant Company,TNC,8.34,82.94,691.39,0.0339,Packaged Foods,Consumer Defensive
Teradata Corporation,TDC,96.83,21.01,2034.4,0.0998,Real Estate - Diversified,Real Estate
TeraWulf Inc.,WULF,212.9,9.13,1943.77,0.0954,Beverages - Non-Alcoholic,Consumer Defensive
"Terns Pharmaceuticals, Inc.",TERN,3.02,7.22,21.81,0.0011,Restaurants,Consumer Cyclical
Terran Orbital Corporation,LLAP,10.08,0,0,0,Utilities - Regulated Water,Utilities
"Tetra Tech, Inc.",TTEK,11.43,36.09,412.65,0.0203,Specialty Industrial Machinery,Industrials
"TETRA Technologies, Inc.",TTI,124.34,4.69,583.17,0.0286,Credit Services,Financial Services
Tevogen Bio Holdings Inc.,TVGN,12.22,0.87,10.59,0.0005,Internet Retail,Consumer Cyclical
Texas Pacific Land Corporation,TPL,18.74,889.19,16665.2,0.8179,Software - Application,Technology
"Texas Roadhouse, Inc.",TXRH,66.54,168.85,11235.11,0.5514,Oil & Gas Equipment & Services,Energy
"TG Therapeutics, Inc.",TGTX,138.28,32.21,4453.9,0.2186,Home Improvement Retail,Consumer Cyclical
"The Andersons, Inc.",ANDE,3.91,41.4,161.96,0.0079,Insurance - Specialty,Financial Services
"The Baldwin Insurance Group, Inc.",BWIN,65.23,31.85,2077.42,0.102,Entertainment,Communication Services
"The Bancorp, Inc.",TBBK,47.01,75.8,3563.05,0.1749,Engineering & Construction,Industrials
The Beauty Health Company,SKIN,73.71,2.05,151.1,0.0074,Software - Infrastructure,Technology
"The Boston Beer Company, Inc.",SAM,1.84,226.97,418.08,0.0205,Asset Management,Financial Services
The Brink's Company,BCO,44.51,114.74,5106.62,0.2506,Advertising Agencies,Communication Services
"The Buckle, Inc.",BKE,30.59,59.27,1813.25,0.089,Specialty Business Services,Industrials
The Cheesecake Factory Incorporated,CAKE,47.82,60.63,2899.27,0.1423,Medical Devices,Healthcare
"The Chefs' Warehouse, Inc.",CHEF,34.66,63.97,2217.39,0.1088,Apparel Retail,Consumer Cyclical
The Chemours Company,CC,11.01,15.66,172.39,0.0085,Medical Devices,Healthcare
"The Ensign Group, Inc.",ENSG,54.97,173.99,9564.75,0.4694,Building Products & Equipment,Industrials
The Gorman-Rupp Company,GRC,20.76,43.22,897.2,0.044,Biotechnology,Healthcare
"The Hackett Group, Inc.",HCKT,22.64,20.94,474.12,0.0233,Residential Construction,Consumer Cyclical
"The Honest Company, Inc.",HNST,32.52,4.01,130.41,0.0064,Staffing & Employment Services,Industrials
The Joint Corp.,JYNT,10.78,10.64,114.73,0.0056,Railroads,Industrials
The Lovesac Company,LOVE,7.44,20.41,151.81,0.0075,Travel Services,Consumer Cyclical
The Marzetti Company,MZTI,19.38,184.46,3574.65,0.1754,Insurance - Property & Casualty,Financial Services
"The ONE Group Hospitality, Inc.",STKS,20.63,2.75,56.73,0.0028,Banks - Regional,Financial Services
"The Pennant Group, Inc.",PNTG,28.61,24.29,695.03,0.0341,Biotechnology,Healthcare
The Real Brokerage Inc.,REAX,94.24,5.25,494.73,0.0243,Internet Content & Information,Communication Services
"The RealReal, Inc.",REAL,67.95,8.67,589.14,0.0289,Software - Infrastructure,Technology
The Simply Good Foods Company,SMPL,90.41,28.45,2572.02,0.1262,Tobacco,Consumer Defensive
The St. Joe Company,JOE,35.71,51.14,1826.41,0.0896,Diagnostics & Research,Healthcare
"The Vita Coco Company, Inc.",COCO,38.88,38.54,1498.36,0.0735,Consumer Electronics,Technology
The Wendy's Company,WEN,84.69,10.33,874.84,0.0429,Biotechnology,Healthcare
The Western Union Company,WU,59.38,8.84,524.93,0.0258,Medical Care Facilities,Healthcare
The York Water Company,YORW,1.83,31.01,56.72,0.0028,Communication Equipment,Technology
"Thermon Group Holdings, Inc.",THR,3.4,25.56,86.96,0.0043,Education & Training Services,Consumer Defensive
ThredUp Inc.,TDUP,12.15,11.6,140.96,0.0069,Medical Devices,Healthcare
"Thryv Holdings, Inc.",THRY,31.51,12.5,393.89,0.0193,Lumber & Wood Production,Basic Materials
Tidewater Inc.,TDW,48.31,57.73,2788.94,0.1369,Rental & Leasing Services,Industrials
"Tile Shop Holdings, Inc.",TTSH,9.87,6.2,61.21,0.003,Semiconductor Equipment & Materials,Technology
Tiptree Inc.,TIPT,5.76,22.64,130.45,0.0064,Software - Infrastructure,Technology
"TKO Group Holdings, Inc.",TKO,10.79,194,2092.48,0.1027,Electrical Equipment & Parts,Industrials
"Toast, Inc.",TOST,442.67,41.22,18246.69,0.8955,Biotechnology,Healthcare
TopBuild Corp.,BLD,2.54,435.39,1103.71,0.0542,REIT - Residential,Real Estate
Torrid Holdings Inc.,CURV,12.12,1.78,21.57,0.0011,Electronic Components,Technology
"Townsquare Media, Inc.",TSQ,12.98,7.19,93.33,0.0046,Leisure,Consumer Cyclical
TPG Inc.,TPG,20.79,58.52,1216.81,0.0597,Residential Construction,Consumer Cyclical
"Transcat, Inc.",TRNS,8.55,78.18,668.75,0.0328,Building Materials,Basic Materials
"TransMedics Group, Inc.",TMDX,31.79,104.01,3306.48,0.1623,REIT - Healthcare Facilities,Real Estate
"Treace Medical Concepts, Inc.",TMCI,48.32,7.17,346.46,0.017,Software - Application,Technology
"Trevi Therapeutics, Inc.",TRVI,35.66,7.01,249.95,0.0123,Insurance - Property & Casualty,Financial Services
"Trex Company, Inc.",TREX,108.16,64.6,6986.81,0.3429,Education & Training Services,Consumer Defensive
"Tri Pointe Homes, Inc.",TPH,27.12,37.14,1007.35,0.0494,Trucking,Industrials
"TriNet Group, Inc.",TNET,32.22,70.66,2276.88,0.1117,Software - Application,Technology
"Trinity Industries, Inc.",TRN,74.31,28.57,2123.12,0.1042,Credit Services,Financial Services
"Tripadvisor, Inc.",TRIP,5.71,17.64,100.65,0.0049,Uranium,Energy
"Triumph Financial, Inc.",TFIN,20.03,63.85,1278.98,0.0628,Internet Content & Information,Communication Services
Trump Media & Technology Group Corp.,DJT,36.01,16.68,600.68,0.0295,Uranium,Energy
"Trupanion, Inc.",TRUP,32.64,44.09,1439.14,0.0706,Apparel Retail,Consumer Cyclical
"TScan Therapeutics, Inc.",TCRX,24.8,1.91,47.36,0.0023,Banks - Regional,Financial Services
Tucows Inc.,TCX,7.89,17.83,140.71,0.0069,Packaged Foods,Consumer Defensive
"Turning Point Brands, Inc.",TPB,14.57,100.9,1469.61,0.0721,Mortgage Finance,Financial Services
Turtle Beach Corporation,TBCH,10.03,15.41,154.59,0.0076,Resorts & Casinos,Consumer Cyclical
Twist Bioscience Corporation,TWST,56.97,25.76,1467.62,0.072,Oil & Gas E&P,Energy
"Tyra Biosciences, Inc.",TYRA,20.12,12.65,254.56,0.0125,Financial Data & Stock Exchanges,Financial Services
"U.S. Physical Therapy, Inc.",USPH,14.82,85.64,1269.01,0.0623,Software - Infrastructure,Technology
Ubiquiti Inc.,UI,1.86,577.05,1073.89,0.0527,Auto & Truck Dealerships,Consumer Cyclical
"Udemy, Inc.",UDMY,94.71,6.68,632.64,0.031,Semiconductor Equipment & Materials,Technology
"UFP Industries, Inc.",UFPI,33.87,103.79,3514.95,0.1725,Biotechnology,Healthcare
"UFP Technologies, Inc.",UFPT,7.19,207.29,1491.04,0.0732,Biotechnology,Healthcare
U-Haul Holding Company,UHAL,3.33,59.52,198.08,0.0097,Biotechnology,Healthcare
U-Haul Holding Company,UHAL.B,43.33,53.57,2321.3,0.1139,Utilities - Renewable,Utilities
UiPath Inc.,PATH,333.51,11.49,3832,0.1881,Information Technology Services,Technology
"Ultra Clean Holdings, Inc.",UCTT,43.83,24.38,1068.65,0.0524,Biotechnology,Healthcare
Ultragenyx Pharmaceutical Inc.,RARE,87.09,31.82,2771.04,0.136,Software - Application,Technology
Ultralife Corporation,ULBI,1.21,7.12,8.58,0.0004,Biotechnology,Healthcare
"UMH Properties, Inc.",UMH,9.36,15.24,142.65,0.007,Software - Application,Technology
"United Homes Group, Inc.",UHG,4.09,4.23,17.3,0.0008,Apparel Retail,Consumer Cyclical
United Parks & Resorts Inc.,PRKS,33.19,54.43,1806.42,0.0887,Biotechnology,Healthcare
"United States Lime & Minerals, Inc.",USLM,10.43,123.06,1282.9,0.063,Electronic Components,Technology
Unity Software Inc.,U,131.79,43.82,5774.82,0.2834,Asset Management,Financial Services
Universal Display Corporation,OLED,23.46,145.39,3411.14,0.1674,Medical Devices,Healthcare
Universal Health Realty Income Trust,UHT,10.58,41.36,437.67,0.0215,Biotechnology,Healthcare
"Universal Insurance Holdings, Inc.",UVE,4.39,24.6,107.94,0.0053,Oil & Gas Midstream,Energy
"Universal Logistics Holdings, Inc.",ULH,2.39,25.55,60.96,0.003,Aerospace & Defense,Industrials
"Universal Technical Institute, Inc.",UTI,39.12,26.93,1053.37,0.0517,"Furnishings, Fixtures & Appliances",Consumer Cyclical
"Upbound Group, Inc.",UPBD,53.14,25.4,1349.81,0.0662,Asset Management,Financial Services
"Upstart Holdings, Inc.",UPST,76.29,66.9,5103.8,0.2505,Biotechnology,Healthcare
Upwork Inc.,UPWK,123.37,16.19,1997.43,0.098,Farm Products,Consumer Defensive
Uranium Energy Corp.,UEC,389.57,11.17,4351.53,0.2136,Software - Application,Technology
"Urban Outfitters, Inc.",URBN,17.83,70.77,1261.9,0.0619,Auto Parts,Consumer Cyclical
Ur-Energy Inc.,URG,248.39,1.47,365.13,0.0179,Internet Content & Information,Communication Services
"USCB Financial Holdings, Inc.",USCB,2.88,17.43,50.23,0.0025,Aerospace & Defense,Industrials
"Utz Brands, Inc.",UTZ,43.93,13.85,608.42,0.0299,Mortgage Finance,Financial Services
UWM Holdings Corporation,UWMC,64.67,6.31,408.04,0.02,Oil & Gas E&P,Energy
"VAALCO Energy, Inc.",EGY,10.11,3.83,38.72,0.0019,Specialty Chemicals,Basic Materials
"Vail Resorts, Inc.",MTN,31.83,157.9,5026.11,0.2467,Medical Instruments & Supplies,Healthcare
"Value Line, Inc.",VALU,0.72,36.74,26.53,0.0013,Specialty Industrial Machinery,Industrials
Valvoline Inc.,VVV,128.89,39.04,5032.02,0.247,Trucking,Industrials
"Varonis Systems, Inc.",VRNS,109.2,56.03,6118.36,0.3003,Health Information Services,Healthcare
"Vaxcyte, Inc.",PCVX,108.13,33.02,3570.55,0.1752,Packaged Foods,Consumer Defensive
Veeco Instruments Inc.,VECO,46.52,24.51,1140.21,0.056,Biotechnology,Healthcare
"Vera Therapeutics, Inc.",VERA,38.6,24.19,933.66,0.0458,Airports & Air Services,Industrials
"Verastem, Inc.",VSTM,25.16,10.77,271.01,0.0133,Software - Infrastructure,Technology
"Verde Clean Fuels, Inc.",VGAS,3.25,2.99,9.71,0.0005,Rental & Leasing Services,Industrials
Vericel Corporation,VCEL,47.99,34.05,1634.13,0.0802,Restaurants,Consumer Cyclical
Verra Mobility Corporation,VRRM,164.92,24.86,4099.86,0.2012,Asset Management,Financial Services
Verrica Pharmaceuticals Inc.,VRCA,18.75,5.11,95.73,0.0047,Software - Application,Technology
"Vertex, Inc.",VERX,53.75,24.04,1292.17,0.0634,Software - Application,Technology
Veru Inc.,VERU,96.94,3.37,326.7,0.016,Credit Services,Financial Services
Viant Technology Inc.,DSP,15.4,10.3,158.61,0.0078,Footwear & Accessories,Consumer Cyclical
Vicor Corporation,VICR,12.26,51.8,635.17,0.0312,Lodging,Consumer Cyclical
Victoria's Secret & Co.,VSCO,18.19,26.25,477.46,0.0234,Oil & Gas Refining & Marketing,Energy
"Victory Capital Holdings, Inc.",VCTR,40.74,71.45,2910.87,0.1429,Biotechnology,Healthcare
"Viemed Healthcare, Inc.",VMD,33.97,6.88,233.69,0.0115,Resorts & Casinos,Consumer Cyclical
"Viking Therapeutics, Inc.",VKTX,104.95,26.98,2831.55,0.139,Metal Fabrication,Industrials
"Viper Energy, Inc.",VNOM,26.61,37.28,992.02,0.0487,Biotechnology,Healthcare
Virco Mfg. Corporation,VIRC,0.69,8.82,6.11,0.0003,Biotechnology,Healthcare
"Virgin Galactic Holdings, Inc.",SPCE,1.47,3.22,4.75,0.0002,Industrial Distribution,Industrials
"Viridian Therapeutics, Inc.",VRDN,45.49,18.72,851.55,0.0418,Biotechnology,Healthcare
"VirTra, Inc.",VTSI,10.47,5.83,61.04,0.003,Leisure,Consumer Cyclical
"Virtus Investment Partners, Inc.",VRTS,5.54,193.98,1074.26,0.0527,Auto Parts,Consumer Cyclical
Visteon Corporation,VC,27.03,125.13,3381.89,0.166,Trucking,Industrials
"Vital Farms, Inc.",VITL,32.27,51.12,1649.85,0.081,Internet Content & Information,Communication Services
Vivid Seats Inc.,SEAT,77.45,15.94,1234.54,0.0606,Leisure,Consumer Cyclical
VSE Corporation,VSEC,2.16,166.24,359.74,0.0177,Software - Infrastructure,Technology
"W&T Offshore, Inc.",WTI,97.69,1.76,171.93,0.0084,Internet Content & Information,Communication Services
"Walker & Dunlop, Inc.",WD,23.11,87.6,2024.44,0.0994,Software - Infrastructure,Technology
Warby Parker Inc.,WRBY,86.36,26.02,2247.17,0.1103,Biotechnology,Healthcare
WD-40 Company,WDFC,13.49,218.08,2942.34,0.1444,Pollution & Treatment Controls,Industrials
