Security Name,Ticker,Shares,Price [USD],Market Value [USD],Weight (%),industry,sector
Credit Acceptance Corporation,CACC,4.89,522.61,2555.04,0.1254,Specialty Industrial Machinery,Industrials
Crescent Energy Company,CRGY,35.14,8.76,307.84,0.0151,Software - Application,Technology
"Cricut, Inc.",CRCT,37.15,5.93,220.29,0.0108,Rental & Leasing Services,Industrials
"Crinetics Pharmaceuticals, Inc.",CRNX,77.07,35.61,2744.39,0.1347,Electronic Components,Technology
"Crocs, Inc.",CROX,10.68,86.45,923.37,0.0453,Biotechnology,Healthcare
"Cryoport, Inc.",CYRX,35.37,10.35,366.1,0.018,Oil & Gas Refining & Marketing,Energy
"CS Disco, Inc.",LAW,18.29,5.57,101.86,0.005,Gold,Basic Materials
"CSG Systems International, Inc.",CSGS,29.32,64.81,1900.03,0.0932,Medical Devices,Healthcare
"CSW Industrials, Inc.",CSW,15.32,265.58,4069.75,0.1997,Software - Application,Technology
CTS Corporation,CTS,23.45,42.35,992.94,0.0487,Electronic Components,Technology
"Cullinan Therapeutics, Inc.",CGEM,34,6.99,237.63,0.0117,Software - Application,Technology
"Custom Truck One Source, Inc.",CTOS,33.4,6.09,203.39,0.01,Biotechnology,Healthcare
"CVR Energy, Inc.",CVI,30.29,31.43,951.89,0.0467,Medical Care Facilities,Healthcare
"CVRx, Inc.",CVRX,13.16,7.82,102.91,0.0051,Biotechnology,Healthcare
"Cytokinetics, Incorporated",CYTK,10.29,53.01,545.42,0.0268,Biotechnology,Healthcare
Daily Journal Corporation,DJCO,0.98,490.61,482.27,0.0237,Entertainment,Communication Services
Dakota Gold Corp.,DC,38.73,4.44,171.97,0.0084,Software - Application,Technology
"Daktronics, Inc.",DAKT,5.24,17.38,91.09,0.0045,Oil & Gas Refining & Marketing,Energy
"Dave & Buster's Entertainment, Inc.",PLAY,32.63,23.73,774.21,0.038,Asset Management,Financial Services
Dave Inc.,DAVE,7.74,194.65,1506.98,0.074,Asset Management,Financial Services
DaVita Inc.,DVA,50.32,137.87,6937.48,0.3405,Biotechnology,Healthcare
"Day One Biopharmaceuticals, Inc.",DAWN,46.01,7.55,347.38,0.017,Specialty Retail,Consumer Cyclical
Dayforce Inc.,DAY,15.68,69,1081.71,0.0531,Software - Application,Technology
"Delek US Holdings, Inc.",DK,17.27,31.32,540.87,0.0265,Software - Infrastructure,Technology
Denali Therapeutics Inc.,DNLI,70.54,15.43,1088.49,0.0534,Restaurants,Consumer Cyclical
"Diamond Hill Investment Group, Inc.",DHIL,2.28,142.5,324.47,0.0159,Semiconductors,Technology
"Dianthus Therapeutics, Inc.",DNTH,1.75,26.5,46.4,0.0023,Biotechnology,Healthcare
"DICK'S Sporting Goods, Inc.",DKS,5.17,221.24,1143.37,0.0561,Industrial Distribution,Industrials
Digimarc Corporation,DMRC,14.21,8.34,118.54,0.0058,Medical Care Facilities,Healthcare
"DigitalBridge Group, Inc.",DBRG,41.72,11.22,468.13,0.023,Specialty Business Services,Industrials
"DigitalOcean Holdings, Inc.",DOCN,65.01,32.76,2129.6,0.1045,Conglomerates,Industrials
"Dine Brands Global, Inc.",DIN,1.9,23.68,44.99,0.0022,Software - Application,Technology
Diodes Incorporated,DIOD,4.79,53.06,254.05,0.0125,Software - Application,Technology
"Disc Medicine, Inc.",IRON,1.79,60.76,108.76,0.0053,Auto Parts,Consumer Cyclical
"Distribution Solutions Group, Inc.",DSGR,9.34,31.98,298.66,0.0147,Advertising Agencies,Communication Services
DLH Holdings Corp.,DLHC,2.97,5.85,17.35,0.0009,Auto Parts,Consumer Cyclical
DMC Global Inc.,BOOM,5.05,7.09,35.8,0.0018,Auto & Truck Dealerships,Consumer Cyclical
DocGo Inc.,DCGO,18.43,1.58,29.12,0.0014,Oil & Gas Equipment & Services,Energy
"Domo, Inc.",DOMO,33.49,14.62,489.67,0.024,Residential Construction,Consumer Cyclical
"Donnelley Financial Solutions, Inc.",DFIN,16.7,56.33,940.54,0.0462,Health Information Services,Healthcare
"Dorman Products, Inc.",DORM,25.99,163.67,4253.95,0.2088,Software - Infrastructure,Technology
"DoubleVerify Holdings, Inc.",DV,81.56,15,1223.42,0.06,Software - Application,Technology
"Douglas Dynamics, Inc.",PLOW,18.68,33.45,624.85,0.0307,Restaurants,Consumer Cyclical
"Doximity, Inc.",DOCS,8.96,69.34,621.49,0.0305,Drug Manufacturers - Specialty & Generic,Healthcare
"Dream Finders Homes, Inc.",DFH,27.7,30.94,857.04,0.0421,Engineering & Construction,Industrials
Drilling Tools International Corporation,DTI,6.01,1.96,11.77,0.0006,Computer Hardware,Technology
Driven Brands Holdings Inc.,DRVN,59.35,18.92,1122.85,0.0551,Industrial Distribution,Industrials
"Dropbox, Inc.",DBX,75.68,29.87,2260.56,0.1109,Software - Application,Technology
"Duolingo, Inc.",DUOL,36.61,271.18,9927.9,0.4872,Biotechnology,Healthcare
Dutch Bros Inc.,BROS,36.09,65.98,2381.02,0.1169,Household & Personal Products,Consumer Defensive
D-Wave Quantum Inc.,QBTS,47.1,15.37,723.99,0.0355,Building Materials,Basic Materials
"DXP Enterprises, Inc.",DXPE,1.08,124.31,133.63,0.0066,Software - Application,Technology
"Dycom Industries, Inc.",DY,28.13,248.34,6986.55,0.3429,Medical Instruments & Supplies,Healthcare
"Dynatrace, Inc.",DT,259.73,50,12986.25,0.6373,Oil & Gas E&P,Energy
Dynavax Technologies Corporation,DVAX,104.51,10.06,1051.39,0.0516,Biotechnology,Healthcare
"Dyne Therapeutics, Inc.",DYN,79.92,14.22,1136.49,0.0558,Uranium,Energy
"e.l.f. Beauty, Inc.",ELF,52.8,133.97,7073.75,0.3471,Engineering & Construction,Industrials
Eagle Materials Inc.,EXP,25.75,242.26,6238.92,0.3062,Electrical Equipment & Parts,Industrials
"Edgewise Therapeutics, Inc.",EWTX,71.9,15.57,1119.42,0.0549,Electrical Equipment & Parts,Industrials
eGain Corporation,EGAN,20.1,6.5,130.65,0.0064,Pollution & Treatment Controls,Industrials
Embecta Corp.,EMBC,5.51,14.96,82.44,0.004,Specialty Industrial Machinery,Industrials
"EMCOR Group, Inc.",EME,18.33,625.4,11461.08,0.5625,Electrical Equipment & Parts,Industrials
Empire Petroleum Corporation,EP,13.9,4.96,68.94,0.0034,Medical Care Facilities,Healthcare
enCore Energy Corp.,EU,129.4,2.33,301.5,0.0148,Biotechnology,Healthcare
"Energizer Holdings, Inc.",ENR,71.22,28.77,2048.88,0.1006,Specialty Industrial Machinery,Industrials
"Energy Recovery, Inc.",ERII,56.24,14.42,810.95,0.0398,Advertising Agencies,Communication Services
Enerpac Tool Group Corp.,EPAC,53.86,42.69,2299.2,0.1128,Software - Application,Technology
EnerSys,ENS,36.34,103.85,3773.7,0.1852,Asset Management,Financial Services
"Enhabit, Inc.",EHAB,4.83,7.79,37.65,0.0018,Oil & Gas E&P,Energy
